place_name,Accessibility ramp__mentions,Accessibility ramp__score,Accommodation__mentions,Accommodation__score,Bike rental__mentions,Bike rental__score,Boardwalk__mentions,Boardwalk__score,Boat rental__mentions,Boat rental__score,Boat service__mentions,Boat service__score,Bridge__mentions,Bridge__score,Brochure__mentions,Brochure__score,Cafe__mentions,Cafe__score,Camping facility__mentions,Camping facility__score,Changing room__mentions,Changing room__score,Clothing cover service__mentions,Clothing cover service__score,Diving equipment rental__mentions,Diving equipment rental__score,Donation box__mentions,Donation box__score,Drinking water__mentions,Drinking water__score,Entrance fee__mentions,Entrance fee__score,First aid__mentions,First aid__score,Food stall__mentions,Food stall__score,General facilities__mentions,General facilities__score,Guide service__mentions,Guide service__score,Handrail__mentions,Handrail__score,Information board__mentions,Information board__score,Jeep service__mentions,Jeep service__score,Life jacket__mentions,Life jacket__score,Lifeguard service__mentions,Lifeguard service__score,Lighting__mentions,Lighting__score,Locker__mentions,Locker__score,Market stalls__mentions,Market stalls__score,Multilingual information__mentions,Multilingual information__score,Parking__mentions,Parking__score,Pathway__mentions,Pathway__score,Public transport access__mentions,Public transport access__score,Rest area__mentions,Rest area__score,Restaurant__mentions,Restaurant__score,Road access__mentions,Road access__score,Safety barrier__mentions,Safety barrier__score,Scooter rental__mentions,Scooter rental__score,Seating__mentions,Seating__score,Security__mentions,Security__score,Shade or shelter__mentions,Shade or shelter__score,Shoe storage__mentions,Shoe storage__score,Shop__mentions,Shop__score,Shower__mentions,Shower__score,Signage__mentions,Signage__score,Snorkelling equipment rental__mentions,Snorkelling equipment rental__score,Souvenir shop__mentions,Souvenir shop__score,Steps or stairs__mentions,Steps or stairs__score,Surfboard rental__mentions,Surfboard rental__score,Taxi service__mentions,Taxi service__score,Ticket counter__mentions,Ticket counter__score,Ticket or receipt__mentions,Ticket or receipt__score,Toilet__mentions,Toilet__score,Towel service__mentions,Towel service__score,Train service__mentions,Train service__score,Tuk tuk service__mentions,Tuk tuk service__score,View platform__mentions,View platform__score,Visitor centre__mentions,Visitor centre__score,Waste bins__mentions,Waste bins__score
Moon Plains,0,,2,0.5,0,,0,,0,,0,,0,,2,0.0,1,0.0,0,,0,,0,,0,,0,,0,,44,0.045,0,,1,1.0,2,-0.5,6,0.167,0,,0,,12,0.25,0,,0,,0,,0,,0,,2,0.5,6,0.333,0,,2,-1.0,0,,1,-1.0,6,-0.667,4,-0.25,0,,1,1.0,1,0.0,1,0.0,0,,2,0.0,1,0.0,3,-0.333,0,,0,,5,-0.2,0,,4,0.0,6,-0.167,29,0.0,6,-0.167,0,,0,,3,0.0,11,0.182,0,,0,
Moonstone or Sandakada pahana,0,,1,1.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,0.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,-0.25,0,,0,,0,,0,,0,,1,0.0,0,,0,,0,,0,,11,0.091,0,,0,,0,,1,-1.0,0,,0,,0,,2,-0.5,0,,0,,0,
Mount Lavinia Beach,0,,244,0.324,0,,0,,0,,2,0.0,4,0.5,0,,14,0.357,0,,4,0.25,0,,0,,0,,0,,8,0.125,0,,17,0.176,7,0.714,1,0.0,0,,0,,0,,0,,17,0.235,0,,1,1.0,0,,1,0.0,7,0.286,0,,3,0.667,0,,202,0.401,0,,1,1.0,0,,9,0.556,20,0.3,7,0.429,0,,9,0.222,5,0.0,6,0.167,0,,2,-0.5,2,0.5,0,,14,0.357,0,,1,0.0,8,0.0,6,0.0,7,0.429,17,0.118,0,,1,0.0,1,-1.0
Mulgirigala Raja Maha Vihara,0,,17,0.294,0,,0,,0,,0,,0,,6,1.0,0,,0,,0,,3,0.0,0,,26,0.154,0,,111,0.207,0,,3,0.0,4,-0.5,34,0.529,2,-0.5,0,,0,,0,,0,,0,,0,,0,,2,0.0,14,0.071,1,0.0,6,0.5,0,,0,,0,,8,0.125,0,,0,,0,,2,-0.5,5,0.0,1,0.0,0,,4,0.0,0,,1,0.0,187,-0.032,0,,3,0.333,9,0.0,23,0.261,6,-0.333,0,,0,,50,0.3,0,,0,,1,1.0
Muthurajawela Marsh,0,,33,0.364,0,,0,,2,0.0,147,0.286,2,0.0,4,0.0,0,,0,,0,,0,,0,,0,,3,0.667,33,0.061,0,,3,0.667,0,,48,0.396,0,,1,0.0,0,,3,1.0,0,,0,,0,,0,,0,,0,,0,,1,-1.0,0,,4,0.0,1,0.0,1,-1.0,1,0.0,3,0.333,0,,5,0.0,0,,0,,0,,8,0.0,0,,2,1.0,0,,0,,7,0.286,0,,1,0.0,2,0.5,0,,0,,28,0.286,0,,31,0.226,0,
Nagadipa Purana Vihara,2,-0.5,7,0.143,0,,0,,1,0.0,63,0.032,2,0.5,1,0.0,2,0.5,0,,0,,1,0.0,0,,3,0.333,0,,21,0.143,0,,1,0.0,3,0.0,0,,0,,0,,0,,16,0.0,0,,0,,0,,2,0.0,0,,4,0.0,1,0.0,8,-0.125,0,,2,0.0,4,0.0,0,,0,,3,1.0,0,,2,0.5,1,0.0,1,1.0,0,,2,-0.5,0,,0,,1,-1.0,0,,0,,0,,2,0.0,2,0.0,0,,0,,11,0.0,0,,0,,1,0.0
Nalanda Gedige,0,,4,0.25,0,,0,,0,,0,,0,,3,0.0,0,,0,,0,,0,,1,-1.0,2,0.0,0,,13,0.385,0,,0,,0,,3,0.333,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,0.3,0,,1,0.0,0,,1,1.0,0,,0,,0,,0,,0,,2,0.5,2,1.0,0,,0,,6,0.0,0,,0,,1,-1.0,0,,1,0.0,0,,3,-1.0,1,0.0,0,,0,,2,0.5,0,,5,0.0,0,
Nallur Kandaswamy Kovil Festival,0,,1,0.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Negombo Beach,0,,194,0.263,1,0.0,1,1.0,0,,14,0.0,0,,4,0.0,9,0.222,0,,0,,1,-1.0,0,,0,,0,,4,-0.25,0,,24,0.333,9,-0.778,3,-0.333,0,,0,,0,,1,0.0,2,-1.0,1,0.0,0,,0,,0,,6,0.167,0,,1,0.0,0,,104,0.337,2,0.0,4,0.0,0,,4,0.5,4,-0.5,7,-0.429,1,-1.0,13,0.231,1,0.0,2,0.0,0,,9,0.0,1,-1.0,0,,3,0.0,0,,0,,4,-0.25,4,0.25,2,0.5,16,-0.188,0,,0,,2,1.0
Negombo Fish Market,0,,37,0.081,0,,0,,0,,4,-0.25,5,0.0,1,0.0,0,,0,,0,,0,,0,,3,0.333,0,,21,0.095,0,,1,0.0,0,,18,0.222,0,,0,,0,,0,,0,,0,,0,,1,0.0,0,,3,0.333,0,,1,-1.0,0,,15,0.067,1,0.0,0,,0,,3,0.333,0,,4,0.0,0,,7,0.286,0,,0,,0,,0,,0,,0,,1,0.0,0,,0,,0,,0,,1,0.0,27,0.222,0,,0,,1,0.0
Nilavarai Bottomless Well,0,,6,0.167,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,0.0,7,0.143,0,,1,1.0,0,,1,0.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,-0.25,0,,1,1.0,0,,2,1.0,0,,4,0.0,0,,1,0.0,3,-0.333,1,0.0,0,,3,-0.333,0,,5,0.2,0,,0,,2,0.0,0,,0,,0,,4,0.0,0,,0,,0,,5,0.0,0,,0,,0,
Nilaveli Beach,0,,110,0.027,1,1.0,0,,0,,8,0.25,0,,0,,10,-0.1,0,,1,0.0,1,-1.0,0,,0,,0,,8,0.25,0,,2,-0.5,5,-0.2,0,,0,,0,,0,,0,,14,0.5,0,,0,,0,,0,,5,0.8,0,,0,,0,,41,-0.024,1,0.0,0,,0,,0,,17,0.529,11,-0.182,0,,9,-0.667,3,-0.333,1,0.0,0,,1,1.0,0,,0,,2,0.5,0,,3,0.0,3,0.333,0,,0,,4,0.5,0,,0,,1,0.0
Nine Arches Bridge,3,0.667,27,0.148,0,,0,,0,,0,,897,0.099,8,0.125,37,0.243,0,,0,,0,,0,,0,,0,,33,0.364,4,0.0,8,0.125,3,0.0,11,0.182,1,0.0,0,,0,,0,,0,,3,0.333,0,,0,,0,,16,0.0,5,0.2,10,0.2,0,,4,0.75,16,0.125,2,-0.5,0,,7,0.571,4,0.0,4,0.25,0,,8,0.25,0,,18,-0.389,0,,2,0.0,29,-0.103,0,,3,-0.667,0,,7,0.0,3,0.667,0,,37,0.054,153,0.085,1,0.0,0,,1,1.0
Old Parliament Building,0,,45,0.267,0,,0,,0,,0,,0,,0,,1,1.0,0,,0,,0,,0,,0,,0,,0,,0,,1,0.0,1,0.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,-0.5,2,0.5,1,1.0,0,,1,0.0,0,,12,-0.25,0,,0,,21,-0.095,0,,0,,3,-0.333,0,,0,,0,,0,,0,,0,,2,-0.5,0,,0,,0,,0,,0,,2,0.0,0,,0,,0,
Pasikudah Beach,1,1.0,65,0.2,0,,0,,0,,8,0.625,0,,0,,1,-1.0,0,,3,0.333,0,,0,,0,,0,,5,-0.2,0,,1,0.0,2,0.5,0,,0,,0,,0,,0,,4,0.0,0,,0,,0,,0,,0,,0,,0,,0,,4,0.0,0,,1,1.0,0,,1,-1.0,7,-0.143,1,0.0,0,,0,,1,0.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Passikudah Beach,1,0.0,222,0.261,0,,0,,1,-1.0,12,0.417,1,-1.0,0,,1,0.0,0,,2,0.5,0,,0,,0,,0,,5,0.2,0,,3,0.333,3,1.0,0,,0,,0,,0,,0,,11,0.364,0,,0,,0,,0,,5,0.2,0,,0,,0,,23,0.0,1,1.0,0,,0,,1,1.0,18,0.389,15,0.067,1,-1.0,9,-0.111,3,0.0,1,0.0,0,,0,,0,,0,,2,0.5,0,,1,0.0,2,0.0,1,0.0,0,,0,,0,,0,,0,
Pedro Tea Factory,1,1.0,14,0.357,0,,0,,0,,0,,0,,1,-1.0,26,0.423,0,,0,,0,,0,,1,0.0,0,,106,0.179,0,,3,0.0,11,0.273,115,0.252,0,,0,,0,,0,,0,,0,,0,,0,,6,0.333,6,0.5,0,,2,0.5,0,,4,0.0,0,,0,,0,,1,1.0,1,0.0,0,,0,,43,0.093,1,0.0,5,0.0,0,,8,0.125,10,-0.1,0,,4,0.25,1,0.0,21,0.0,6,-0.333,1,-1.0,0,,21,0.429,2,0.5,2,0.0,0,
Pettah Floating Market,0,,0,,0,,2,0.0,0,,0,,2,-0.5,1,0.0,7,0.143,0,,0,,0,,0,,0,,2,0.5,3,0.0,0,,7,0.143,1,1.0,0,,0,,0,,0,,0,,0,,1,0.0,0,,2,0.0,0,,2,0.0,0,,7,0.143,0,,16,0.125,0,,0,,0,,3,0.667,2,0.0,1,-1.0,0,,46,-0.109,1,0.0,0,,0,,4,0.0,0,,0,,0,,0,,0,,3,-0.667,0,,6,-0.167,2,0.0,0,,0,,0,
Pidurangala Rock,2,-0.5,12,0.333,0,,0,,0,,0,,1,0.0,8,0.25,0,,0,,0,,12,0.25,0,,0,,0,,107,0.355,0,,3,0.333,2,-0.5,7,-0.143,2,-0.5,0,,0,,0,,0,,2,0.0,0,,0,,0,,3,0.667,6,-0.833,0,,0,,0,,1,1.0,3,-0.333,0,,0,,3,-0.667,19,0.211,12,0.167,2,0.0,1,0.0,8,-0.125,0,,1,-1.0,160,-0.156,0,,0,,7,0.0,28,0.25,3,-0.667,0,,0,,25,0.2,0,,0,,0,
Pidurutalagala,0,,2,0.0,0,,0,,0,,0,,0,,3,0.0,7,0.143,0,,0,,0,,0,,0,,0,,7,0.286,0,,6,0.0,1,0.0,2,0.5,0,,0,,0,,0,,0,,0,,0,,0,,1,0.0,6,-0.333,0,,0,,0,,1,0.0,9,0.0,7,0.143,0,,0,,29,-0.103,0,,0,,7,0.0,0,,1,0.0,0,,0,,1,-1.0,0,,0,,2,-0.5,9,-0.222,4,0.25,0,,0,,2,-0.5,0,,0,,0,
Pinnawala Elephant Orphanage,0,,54,0.056,0,,0,,0,,1,0.0,0,,4,-0.75,5,0.2,0,,0,,0,,0,,9,-0.222,1,1.0,102,-0.029,0,,4,0.0,12,0.083,30,0.1,0,,6,0.333,2,0.5,0,,0,,1,0.0,0,,0,,0,,3,0.0,1,1.0,1,0.0,0,,27,0.222,9,0.667,6,-0.167,0,,1,1.0,10,0.0,16,-0.188,0,,28,0.143,15,0.2,13,-0.077,0,,32,0.281,5,0.0,0,,1,1.0,4,0.25,76,-0.039,6,0.833,0,,1,0.0,6,0.5,2,0.5,0,,0,
Pitawala Pathana,0,,3,0.667,0,,0,,0,,0,,0,,0,,1,0.0,0,,0,,0,,0,,0,,0,,1,0.0,0,,3,0.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,0.0,0,,0,,0,,2,1.0,3,-0.333,0,,0,,1,0.0,0,,0,,0,,2,0.5,0,,2,0.5,0,,0,,0,,0,,0,,2,0.0,9,-0.222,2,0.5,0,,0,,0,,0,,0,,0,
Polhena Beach,0,,36,0.361,0,,0,,0,,1,0.0,0,,1,0.0,3,0.0,0,,4,0.0,1,0.0,1,1.0,0,,0,,8,0.125,0,,1,1.0,3,0.0,2,0.5,0,,0,,0,,0,,6,-0.333,0,,0,,0,,0,,11,-0.182,0,,1,0.0,0,,22,0.318,1,0.0,0,,0,,0,,12,0.083,11,-0.273,0,,8,-0.125,3,-0.333,1,1.0,7,0.143,0,,1,0.0,0,,1,1.0,0,,0,,1,-1.0,2,-0.5,3,0.0,10,0.1,0,,0,,1,1.0
Polonnaruwa Vatadage,0,,0,,3,1.0,0,,0,,0,,0,,7,-0.286,0,,0,,0,,2,0.5,0,,0,,0,,9,0.111,0,,2,-0.5,2,0.5,10,0.2,0,,0,,0,,0,,0,,0,,0,,0,,1,0.0,0,,1,-1.0,0,,0,,0,,0,,0,,0,,0,,9,0.222,3,0.333,12,-0.167,2,0.5,0,,7,0.143,0,,2,-0.5,15,0.067,0,,0,,1,0.0,5,0.4,1,1.0,0,,0,,5,-0.2,0,,0,,0,
Popham's Arboretum,0,,14,0.357,0,,0,,0,,0,,0,,5,0.2,0,,0,,0,,0,,0,,38,0.079,0,,31,0.097,0,,1,1.0,2,0.0,27,0.519,0,,0,,1,1.0,0,,0,,0,,0,,0,,0,,0,,3,0.667,0,,0,,0,,0,,1,-1.0,0,,0,,4,0.5,3,0.333,0,,0,,2,0.5,11,0.364,0,,0,,1,1.0,0,,0,,0,,6,-0.167,2,0.5,0,,0,,6,0.167,0,,0,,0,
Rankoth Vehera,0,,2,0.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,0.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,0.0,0,,1,0.0,1,0.0,0,,0,,0,,0,,3,-0.333,0,,0,,0,,1,0.0,0,,0,,0,,0,,0,,0,,0,
Ravana Ella Falls,1,0.0,11,0.091,0,,0,,0,,0,,14,0.0,0,,2,1.0,0,,0,,3,-0.667,0,,0,,0,,34,0.147,0,,25,0.32,1,1.0,3,0.333,0,,1,-1.0,0,,0,,0,,1,0.0,0,,0,,0,,28,0.143,0,,7,-0.143,0,,10,0.7,11,0.091,2,-0.5,1,0.0,1,0.0,3,0.333,1,0.0,0,,10,0.3,15,0.0,4,-0.75,0,,12,0.083,5,-0.6,0,,6,0.0,0,,5,0.0,4,1.0,2,-0.5,1,0.0,52,0.192,9,0.444,0,,1,1.0
Richmond Castle,0,,12,0.083,0,,0,,0,,0,,0,,1,0.0,0,,0,,0,,0,,0,,7,0.143,2,0.0,50,0.32,0,,1,-1.0,1,1.0,28,0.679,0,,0,,0,,0,,0,,0,,0,,0,,2,-0.5,3,0.333,0,,1,0.0,0,,1,1.0,1,0.0,0,,0,,1,1.0,0,,0,,0,,0,,0,,6,0.167,0,,0,,15,0.267,0,,1,0.0,0,,8,0.375,3,0.333,0,,0,,25,0.36,0,,0,,0,
Ridee Viharaya (silver Temple),0,,16,0.812,0,,0,,0,,0,,0,,1,0.0,0,,0,,0,,0,,0,,6,0.333,0,,1,1.0,0,,0,,2,1.0,4,0.25,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1.0,0,,0,,0,,1,1.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,0.25,0,,0,,0,,0,,1,0.0,0,,0,,0,,0,,1,0.0,0,
Ritigala Forest Monastery,1,0.0,10,0.2,0,,0,,0,,0,,6,0.167,12,0.0,0,,0,,0,,0,,0,,26,0.115,1,1.0,60,0.133,0,,0,,2,0.5,26,0.269,0,,2,0.5,0,,0,,0,,0,,0,,0,,1,0.0,5,-0.2,21,-0.143,0,,0,,1,-1.0,16,-0.062,2,0.0,1,0.0,0,,4,0.25,7,0.143,0,,1,-1.0,1,0.0,7,0.143,0,,0,,27,-0.037,0,,3,-0.667,3,0.333,25,0.08,13,0.0,0,,0,,34,0.206,0,,6,0.167,0,
Royal Botanical Gardens,0,,3,0.333,0,,0,,0,,0,,87,0.253,35,0.343,62,0.403,0,,0,,0,,0,,2,0.5,1,0.0,113,0.195,0,,11,0.091,3,1.0,25,0.44,0,,2,0.5,0,,0,,0,,0,,0,,0,,3,-0.333,4,0.5,17,0.294,2,0.0,1,1.0,31,0.258,0,,0,,0,,19,0.211,4,0.5,36,0.417,0,,15,0.267,0,,10,0.3,0,,19,0.632,0,,0,,9,0.0,4,1.0,22,0.5,24,0.583,0,,1,0.0,24,0.125,0,,1,1.0,1,1.0
Ruwanweli Maha Seya,1,0.0,6,-0.333,2,0.5,0,,0,,0,,0,,6,-0.667,0,,0,,0,,3,-0.333,0,,9,0.0,1,0.0,39,0.179,0,,1,0.0,2,1.0,14,0.5,0,,0,,0,,0,,0,,5,0.6,0,,0,,3,0.667,12,0.083,6,-0.5,2,-0.5,0,,0,,1,0.0,0,,0,,0,,6,-0.167,6,-0.5,20,-0.15,7,0.0,0,,4,-0.75,0,,1,-1.0,4,0.0,0,,3,0.0,1,-1.0,34,-0.176,2,-0.5,0,,10,-0.1,25,0.08,0,,0,,1,0.0
Samadhi Statue,0,,1,0.0,0,,0,,0,,0,,0,,1,0.0,0,,0,,0,,0,,0,,1,0.0,0,,5,0.2,0,,1,0.0,0,,1,0.0,0,,0,,0,,0,,0,,0,,0,,1,0.0,2,0.0,2,0.0,4,0.25,0,,0,,0,,0,,1,0.0,0,,0,,0,,5,0.2,2,0.0,1,-1.0,0,,3,0.0,0,,0,,0,,0,,0,,0,,2,-0.5,0,,0,,0,,0,,0,,0,,0,
Samudra Parakrama,0,,6,0.333,0,,0,,0,,4,0.25,0,,1,0.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1.0,2,0.5,0,,0,,0,,2,-1.0,0,,0,,0,,0,,0,,2,0.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,-1.0,0,,0,,0,,0,,0,,0,,0,
Sea Turtle Conservation Project (Koggala),3,0.0,7,0.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,19,0.211,0,,52,0.115,0,,0,,6,0.333,26,0.269,0,,0,,0,,0,,0,,0,,0,,0,,1,1.0,0,,0,,0,,0,,0,,0,,1,0.0,0,,0,,0,,1,1.0,0,,0,,0,,1,0.0,0,,1,1.0,1,0.0,0,,1,1.0,0,,17,0.176,0,,0,,0,,4,0.5,0,,0,,0,
Sea Turtle Farm Galle Mahamodara,0,,4,-0.25,0,,0,,0,,0,,0,,0,,1,0.0,0,,0,,0,,0,,37,0.135,0,,52,0.192,0,,0,,22,0.545,19,0.632,0,,0,,0,,0,,0,,0,,0,,0,,1,-1.0,1,0.0,0,,0,,0,,4,0.75,0,,1,0.0,0,,0,,4,0.0,4,0.25,0,,1,0.0,0,,0,,0,,1,1.0,4,0.5,0,,1,1.0,0,,16,0.125,0,,0,,2,0.5,10,0.0,0,,0,,0,
Seema Malakaya Temple,1,0.0,8,-0.125,0,,2,0.5,0,,2,0.5,31,0.226,1,-1.0,1,0.0,0,,0,,0,,0,,16,-0.312,0,,68,0.074,0,,0,,0,,1,0.0,0,,0,,0,,0,,0,,2,0.0,0,,0,,0,,0,,5,-0.4,0,,0,,1,0.0,1,0.0,1,0.0,0,,5,0.2,3,0.333,3,0.333,6,0.0,4,0.0,0,,2,-0.5,0,,0,,2,-0.5,0,,4,0.5,1,0.0,54,0.111,1,-1.0,0,,0,,5,0.4,0,,0,,0,
Seenigama Muhudu Viharaya,0,,5,0.0,0,,0,,0,,9,0.111,0,,2,0.0,0,,0,,0,,0,,0,,0,,0,,5,0.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,-1.0,0,,0,,0,,1,0.0,0,,0,,0,,0,,1,0.0,0,,0,,0,,0,,0,,1,0.0,0,,0,,0,,0,,0,,1,-1.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
Seruwila Mangala Raja Maha Vihara,0,,1,0.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,0.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1.0,1,-1.0,0,,0,,1,1.0,2,0.0,3,0.0,0,,0,,1,0.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,0.0,0,,1,1.0,0,,0,,0,,0,,0,,0,,0,
Sigiriya Lion Rock,2,0.0,26,0.269,0,,0,,0,,0,,1,-1.0,9,0.444,1,-1.0,0,,0,,0,,0,,1,-1.0,4,0.75,88,-0.114,0,,8,-0.25,6,0.167,43,0.349,6,-0.333,1,1.0,0,,0,,0,,0,,0,,0,,0,,14,0.143,5,-0.4,0,,2,0.5,2,0.5,3,0.667,4,0.5,0,,2,0.5,10,0.3,12,-0.083,0,,4,0.0,2,-0.5,14,0.286,0,,4,0.0,284,-0.06,0,,3,0.667,15,0.0,78,0.038,14,0.0,0,,0,,5,0.4,0,,0,,0,
Single Tree Hill,0,,7,0.0,0,,0,,0,,0,,0,,4,-0.25,0,,0,,0,,1,1.0,0,,0,,0,,0,,0,,0,,0,,1,0.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,3,0.0,1,0.0,1,-1.0,0,,1,0.0,5,-0.6,8,0.0,0,,1,0.0,1,-1.0,0,,0,,0,,0,,4,-0.5,0,,0,,3,0.0,0,,3,0.333,0,,0,,0,,0,,0,,5,0.6,2,0.0,0,,0,
Sinharaja Forest Reserve,0,,116,0.155,1,1.0,0,,0,,0,,13,-0.154,5,0.0,3,0.0,0,,0,,0,,0,,1,0.0,1,1.0,67,0.149,0,,13,0.231,3,0.333,112,0.384,0,,0,,3,0.0,0,,0,,0,,0,,0,,0,,6,0.667,10,-0.4,5,0.4,4,0.25,9,0.333,12,-0.25,1,-1.0,0,,1,1.0,2,0.5,17,-0.059,0,,9,0.222,3,0.667,2,-1.0,2,0.0,1,0.0,3,-0.333,0,,6,0.333,13,0.154,30,0.1,10,-0.1,2,0.5,0,,31,0.161,0,,2,-0.5,0,
Sithulpawwa Rock Temple,1,0.0,6,0.333,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,0.0,0,,3,0.667,0,,3,0.333,0,,1,1.0,1,1.0,2,0.5,2,-0.5,0,,0,,0,,0,,0,,0,,0,,0,,8,0.0,0,,1,-1.0,0,,0,,11,0.182,1,0.0,0,,1,0.0,1,0.0,1,0.0,3,-0.667,2,0.0,0,,1,0.0,0,,0,,13,-0.077,0,,0,,0,,0,,3,0.667,0,,0,,3,0.0,0,,0,,0,
Somawathiya Chaitya,0,,2,0.5,0,,0,,0,,0,,0,,2,0.0,0,,0,,0,,0,,0,,1,-1.0,1,0.0,0,,0,,1,0.0,2,0.0,1,0.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,-0.5,0,,0,,0,,0,,9,0.0,3,0.0,0,,0,,2,0.0,0,,0,,1,0.0,0,,1,0.0,0,,0,,0,,0,,0,,0,,2,0.0,0,,0,,0,,0,,0,,0,,0,
Sri Pada / Adam's Peak,1,0.0,108,0.056,0,,0,,0,,0,,2,-0.5,8,-0.125,26,-0.231,0,,0,,2,-0.5,0,,47,-0.234,1,1.0,33,-0.03,2,0.5,51,0.255,3,-0.333,10,0.0,12,0.25,0,,0,,0,,0,,8,-0.75,0,,1,1.0,1,-1.0,3,0.333,26,-0.423,7,-0.143,1,1.0,8,0.375,5,-0.4,16,0.125,0,,3,-0.333,6,0.0,9,-0.111,13,-0.154,97,-0.062,7,0.143,10,-0.3,0,,0,,349,-0.143,0,,6,-0.167,1,-1.0,2,-0.5,55,0.127,0,,0,,15,0.2,4,0.25,0,,1,1.0
St Benedict's Monastery - Adisham,0,,14,0.0,0,,0,,0,,0,,1,1.0,1,0.0,5,0.4,0,,0,,0,,0,,0,,0,,29,0.207,0,,5,0.2,1,-1.0,2,0.0,0,,1,0.0,0,,0,,0,,0,,0,,0,,4,0.5,4,-0.25,1,-1.0,1,-1.0,0,,3,0.0,11,-0.091,1,1.0,0,,2,0.0,6,-0.167,1,0.0,0,,32,0.375,0,,2,-0.5,0,,4,0.25,1,1.0,0,,2,0.5,0,,13,0.077,9,0.222,0,,0,,12,0.25,0,,0,,0,
St Clair's Falls,0,,5,0.2,0,,0,,0,,0,,0,,0,,8,0.125,0,,0,,0,,0,,0,,0,,2,1.0,0,,4,0.25,1,-1.0,1,0.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,8,0.625,2,0.0,4,0.25,1,1.0,16,0.25,1,0.0,0,,0,,0,,2,0.5,0,,0,,6,0.167,1,0.0,1,0.0,0,,2,0.0,12,0.083,0,,2,0.5,0,,0,,1,0.0,0,,3,0.0,3,0.333,15,0.133,0,,0,
St Lucia's Cathedral,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,0.0,0,,0,,0,,7,0.571,0,,0,,0,,0,,0,,0,,0,,2,-1.0,4,0.0,0,,0,,0,,0,,0,,0,,0,,2,0.0,0,,0,,0,,0,,0,,0,,0,,2,0.0,0,,0,,0,
St. Mary's Church,0,,6,0.333,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,1.0,0,,5,0.0,0,,4,0.25,0,,0,,0,,2,-0.5,0,,0,,0,,0,,0,,1,0.0,0,,1,0.0,2,0.0,7,0.429,0,,0,,0,,1,0.0,1,1.0,0,,0,,2,0.0,1,0.0,3,0.333,0,,5,0.2,0,,4,-0.25,0,,2,0.5,2,0.0,0,,0,,0,,0,,0,,0,,0,,10,0.4,0,,0,,0,
Statue of Parakramabahu I,0,,1,0.0,0,,0,,0,,0,,0,,3,0.667,0,,0,,0,,1,0.0,0,,0,,0,,0,,0,,0,,0,,1,0.0,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,1.0,0,,0,,0,,0,,0,,0,,0,,0,,1,0.0,1,-1.0,1,0.0,0,,0,,1,0.0,0,,0,,0,,0,,0,,0,,3,-0.667,0,,0,,0,,0,,0,,0,,0,
