place_name,Beach_mentions,Sandy beach_mentions,Rocky beach_mentions,Sea_mentions,Waves_mentions,Lagoon_mentions,Lake_mentions,River_mentions,Waterfall_mentions,Coral reef_mentions,Mountain_mentions,Rock formation_mentions,Cave_mentions,Forest_mentions,Tea plantation_mentions,Viewpoint_mentions,Scenic view_mentions,Sunset view_mentions,Sunrise view_mentions,Wildlife_mentions,Elephants_mentions,Turtles_mentions,Whales_mentions,Dolphins_mentions,Birds_mentions,Leopards_mentions,Temple_mentions,Stupa_mentions,Buddha statue_mentions,Murals_mentions,Paintings_mentions,Sculptures_mentions,Cave temple_mentions,Ancient ruins_mentions,Fortress_mentions,Fort_mentions,Colonial architecture_mentions,Museum_mentions,Lighthouse_mentions,Church_mentions,Mosque_mentions,Hindu shrine_mentions,Heritage site_mentions,Entrance fee_mentions,Ticket price_mentions,Parking_mentions,Toilets_mentions,Changing rooms_mentions,Restaurants_mentions,Cafes_mentions,Shops_mentions,Market_mentions,Souvenir stalls_mentions,Accommodation_mentions,Guided tours_mentions,Local guide_mentions,Signage_mentions,Information boards_mentions,Road access_mentions,Public transport access_mentions,Stairs_mentions,Trail_mentions,Bridge_mentions,Boat service_mentions,Crowdedness_mentions,Cleanliness_mentions,Safety_mentions,Accessibility_mentions,Family friendliness_mentions,Peacefulness_mentions,Noise level_mentions,Service quality_mentions,Value for money_mentions,Food quality_mentions,Water clarity_mentions,Water depth_mentions,Strong current_mentions,Leeches_mentions,Weather condition_mentions,Beach_sentiment_score,Sandy beach_sentiment_score,Rocky beach_sentiment_score,Sea_sentiment_score,Waves_sentiment_score,Lagoon_sentiment_score,Lake_sentiment_score,River_sentiment_score,Waterfall_sentiment_score,Coral reef_sentiment_score,Mountain_sentiment_score,Rock formation_sentiment_score,Cave_sentiment_score,Forest_sentiment_score,Tea plantation_sentiment_score,Viewpoint_sentiment_score,Scenic view_sentiment_score,Sunset view_sentiment_score,Sunrise view_sentiment_score,Wildlife_sentiment_score,Elephants_sentiment_score,Turtles_sentiment_score,Whales_sentiment_score,Dolphins_sentiment_score,Birds_sentiment_score,Leopards_sentiment_score,Temple_sentiment_score,Stupa_sentiment_score,Buddha statue_sentiment_score,Murals_sentiment_score,Paintings_sentiment_score,Sculptures_sentiment_score,Cave temple_sentiment_score,Ancient ruins_sentiment_score,Fortress_sentiment_score,Fort_sentiment_score,Colonial architecture_sentiment_score,Museum_sentiment_score,Lighthouse_sentiment_score,Church_sentiment_score,Mosque_sentiment_score,Hindu shrine_sentiment_score,Heritage site_sentiment_score,Entrance fee_sentiment_score,Ticket price_sentiment_score,Parking_sentiment_score,Toilets_sentiment_score,Changing rooms_sentiment_score,Restaurants_sentiment_score,Cafes_sentiment_score,Shops_sentiment_score,Market_sentiment_score,Souvenir stalls_sentiment_score,Accommodation_sentiment_score,Guided tours_sentiment_score,Local guide_sentiment_score,Signage_sentiment_score,Information boards_sentiment_score,Road access_sentiment_score,Public transport access_sentiment_score,Stairs_sentiment_score,Trail_sentiment_score,Bridge_sentiment_score,Boat service_sentiment_score,Crowdedness_sentiment_score,Cleanliness_sentiment_score,Safety_sentiment_score,Accessibility_sentiment_score,Family friendliness_sentiment_score,Peacefulness_sentiment_score,Noise level_sentiment_score,Service quality_sentiment_score,Value for money_sentiment_score,Food quality_sentiment_score,Water clarity_sentiment_score,Water depth_sentiment_score,Strong current_sentiment_score,Leeches_sentiment_score,Weather condition_sentiment_score
Independence Memorial Hall,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,23,1,0,1,0,0,0,0,3,0,10,0,5,7,7,61,0,0,0,1,8,33,0,0,0,0,4,8,3,7,1,0,11,3,11,1,1,4,3,14,3,0,10,11,7,15,0,0,17,38,5,2,24,38,1,1,18,6,0,3,0,0,13,,,,0.0,,,-1.0,,,,,,,,,,0.4348,0.0,,0.0,,,,,0.3333,,0.2,,0.4,0.1429,0.5714,0.4262,,,,0.0,0.5,0.3333,,,,,0.75,0.5,0.3333,0.2857,0.0,,0.4545,0.6667,0.1818,0.0,0.0,0.5,0.6667,0.7143,0.3333,,0.1,0.0909,0.2857,0.4667,,,-0.4118,0.8421,0.6,1.0,0.5,0.9474,-1.0,1.0,0.6667,0.1667,,0.0,,,0.0
Isurumuniya Temple,1,7,0,0,0,0,31,1,0,0,6,121,22,2,0,3,84,6,0,0,27,0,0,0,3,0,178,34,38,2,11,112,32,13,0,0,0,57,0,1,0,12,11,32,44,8,2,0,1,1,1,0,0,2,0,16,4,0,2,7,22,3,0,0,17,6,5,2,22,32,3,4,16,1,0,1,0,0,31,1.0,-0.4286,,,,,0.5806,0.0,,,1.0,0.5372,0.5455,0.5,,0.0,0.7262,0.6667,,,0.5185,,,,0.6667,,0.5393,0.5294,0.3158,0.0,0.4545,0.4554,0.4688,0.3846,,,,0.3158,,0.0,,0.3333,0.2727,0.2812,0.3182,0.25,1.0,,-1.0,1.0,0.0,,,0.5,,0.5,-0.25,,0.5,0.4286,0.2727,0.3333,,,-0.8235,0.6667,-0.2,1.0,0.1818,1.0,-1.0,0.25,0.75,-1.0,,0.0,,,-1.0
Jaffna Fort,14,1,2,41,0,16,0,0,1,25,2,3,0,0,1,2,107,37,2,1,2,0,0,0,2,0,5,0,0,0,0,5,0,57,10,334,28,25,0,28,0,6,19,10,16,4,2,0,3,2,11,3,4,5,0,24,16,5,9,8,11,5,3,2,6,29,8,1,15,15,0,19,44,6,0,0,6,0,44,0.1429,0.0,0.5,0.7317,,0.75,,,0.0,0.48,0.0,0.6667,,,0.0,0.5,0.7757,0.7838,1.0,0.0,0.5,,,,0.5,,0.4,,,,,-0.2,,0.2807,0.5,0.4192,0.3214,0.28,,0.25,,0.1667,0.3684,0.0,0.0,0.0,0.0,,0.3333,0.0,0.1818,0.3333,-0.25,0.0,,0.375,0.1875,0.2,0.0,0.25,0.2727,0.6,0.3333,1.0,-1.0,-0.2759,0.625,1.0,0.6,1.0,,0.5263,0.6818,0.0,,,0.6667,,-0.7273
Jaffna Public Library,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0,1,16,2,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,2,0,17,5,1,0,2,1,3,4,4,2,1,0,0,1,1,0,2,0,2,1,3,4,0,2,2,2,1,0,0,3,4,2,2,9,9,1,9,6,2,0,0,0,0,1,0.0,,,1.0,,,1.0,,,,1.0,,,,,1.0,0.5625,0.0,,,,,,,,,0.5,,,,,0.4,,0.0,,0.3529,0.8,1.0,,-0.5,0.0,0.0,-0.25,-0.25,0.0,0.0,,,0.0,0.0,,0.5,,-0.5,0.0,-0.3333,0.25,,1.0,0.0,0.0,1.0,,,-0.3333,0.5,0.0,-1.0,0.5556,1.0,-1.0,0.2222,1.0,0.0,,,,,-1.0
Jami Ul-Alfar Mosque,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,16,0,0,0,0,0,0,0,2,0,7,0,0,0,12,3,0,0,0,11,6,1,1,4,280,3,4,1,5,18,2,0,8,0,26,53,4,3,2,16,3,1,16,20,7,1,0,0,90,14,2,1,1,17,4,10,11,4,0,0,0,0,6,,,,0.0,,,,0.0,,,,0.0,,,,,0.375,,,,,,,,1.0,,0.5714,,,,0.25,0.3333,,,,0.4545,0.5,0.0,1.0,0.0,0.4929,0.0,0.5,0.0,0.2,-0.3889,0.0,,0.875,,0.1538,0.1132,0.5,0.3333,0.0,0.5625,0.0,1.0,0.0625,0.05,0.1429,1.0,,,-0.9556,0.8571,-0.5,1.0,0.0,1.0,-1.0,0.5,1.0,0.5,,,,,-0.8333
Japanese Peace Pagoda - Rumassala,183,1,0,81,2,2,3,1,1,1,65,15,1,155,0,5,319,87,3,0,1,0,0,0,3,0,132,218,36,0,5,27,1,0,0,63,0,3,7,4,1,14,1,9,9,3,3,0,6,0,3,0,2,17,1,3,9,0,43,67,11,15,2,2,18,20,4,10,9,240,3,9,14,2,0,2,1,0,32,0.5191,1.0,,0.716,1.0,1.0,0.6667,0.0,1.0,0.0,0.2769,0.3333,0.0,0.4452,,1.0,0.8997,0.7471,0.3333,,1.0,,,,0.6667,,0.5076,0.5734,0.4722,,0.6,0.5185,1.0,,,0.6508,,1.0,0.5714,0.75,1.0,0.2857,0.0,0.0,0.3333,0.0,0.3333,,0.5,,0.6667,,0.5,0.2941,0.0,0.0,0.3333,,0.3256,0.3284,0.1818,0.5333,0.5,0.5,-0.3889,0.9,0.0,0.8,0.5556,0.9917,-1.0,0.5556,0.8571,0.0,,0.5,1.0,,-0.5625
Jaya Sri Maha Bodhi,0,9,0,1,2,0,0,1,0,0,0,2,1,1,0,0,9,2,0,1,0,0,0,0,1,0,82,26,118,0,2,11,1,16,1,1,0,6,0,2,0,10,12,14,31,3,2,0,0,0,4,0,3,3,2,24,5,0,2,11,7,3,0,0,47,12,10,1,16,59,3,9,24,11,0,1,2,0,32,,0.2222,,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,,,0.3333,0.5,,0.0,,,,,1.0,,0.2805,0.1923,0.0763,,0.5,0.1818,0.0,0.1875,0.0,0.0,,0.8333,,0.0,,0.2,0.1667,0.1429,0.0645,0.0,0.5,,,,0.0,,0.3333,0.3333,-0.5,0.2917,0.0,,0.0,0.2727,0.0,0.3333,,,-0.7021,0.0,0.7,-1.0,0.375,1.0,-1.0,0.4444,0.6667,-0.0909,,0.0,1.0,,-0.7812
Jungle Beach,550,57,2,87,47,4,1,1,2,40,50,63,0,242,0,1,71,22,0,5,0,7,0,0,4,0,16,40,2,0,0,0,0,3,0,11,0,0,1,0,0,0,1,3,32,12,7,4,45,16,11,2,13,24,0,1,12,0,52,67,19,79,1,35,150,220,16,5,42,103,19,15,17,59,25,7,17,0,17,0.42,0.3509,0.5,0.2874,0.2766,0.5,0.0,0.0,0.5,0.125,0.14,0.1905,,0.2355,,0.0,0.5775,0.8636,,0.4,,-0.2857,,,0.25,,0.4375,0.3,0.0,,,,,0.6667,,0.2727,,,-1.0,,,,0.0,0.3333,0.2188,-0.0833,0.2857,0.75,0.2,0.375,0.1818,0.5,-0.0769,0.2917,,0.0,0.0833,,-0.0385,0.1045,0.2105,0.0506,0.0,0.2,-0.76,-0.6,-0.0625,1.0,0.3095,0.9806,-1.0,0.4667,-0.0588,0.2373,0.52,0.5714,-0.1176,,-0.4118
Kabalana Beach,27,10,0,3,18,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,5,1,0,1,7,0,0,2,0,1,1,0,0,0,0,2,8,2,1,4,4,1,4,1,4,0,2,0,0,1,0.8519,0.8,,0.3333,0.5556,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.2,,,,0.7143,0.8,0.0,,0.0,0.1429,,,0.0,,0.0,0.0,,,,,-1.0,0.75,0.0,1.0,0.5,1.0,-1.0,0.75,-1.0,0.5,,0.5,,,1.0
Kalametiya Eco Bird Watching,9,0,0,4,2,64,5,2,0,0,5,55,0,3,0,4,64,28,22,28,0,1,0,0,246,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,2,0,2,13,8,159,1,0,0,12,0,4,0,82,6,2,4,0,22,89,1,12,5,1,0,4,0,0,14,0.4444,,,0.5,1.0,0.6719,0.8,1.0,,,0.2,0.5273,,0.3333,,0.5,0.6875,0.6786,0.8182,0.75,,1.0,,,0.6341,,,,1.0,,0.5,,,0.0,,,,,,,,,,-1.0,0.8,,,,,,0.0,,0.5,0.1538,0.375,0.6981,0.0,,,0.3333,,0.5,,0.5244,-0.3333,-1.0,0.75,,0.7727,1.0,-1.0,0.8333,0.6,1.0,,0.5,,,-0.5
Kalutara Bodhiya,12,1,0,9,0,2,0,43,0,0,5,1,0,0,1,0,36,2,0,1,1,0,0,0,1,0,145,48,34,3,22,6,0,0,0,1,2,2,0,1,0,11,2,10,13,10,0,0,0,0,4,4,3,9,4,26,2,0,56,13,7,3,14,0,34,10,6,3,9,55,5,7,14,4,0,0,0,0,2,0.75,0.0,,0.5556,,1.0,,0.4884,,,0.4,0.0,,,1.0,,0.6944,1.0,,0.0,0.0,,,,0.0,,0.5034,0.3958,0.4412,1.0,0.5,0.5,,,,0.0,0.0,0.5,,1.0,,0.4545,0.0,0.2,-0.1538,-0.1,,,,,0.25,-0.25,-0.3333,0.3333,0.25,0.3846,-0.5,,0.1607,0.4615,0.2857,0.3333,0.4286,,-0.6765,1.0,1.0,1.0,0.1111,0.9636,-1.0,1.0,0.7143,0.75,,,,,-1.0
Kande Viharaya Temple,3,1,0,1,0,0,0,0,1,0,11,0,0,0,1,0,8,0,0,4,27,0,0,0,1,0,102,2,69,4,17,55,0,2,0,0,0,10,0,2,0,15,0,5,3,4,0,0,0,1,0,1,2,6,3,18,1,0,9,18,5,1,0,1,21,7,1,3,2,16,1,1,5,2,0,0,1,0,10,0.6667,1.0,,0.0,,,,,1.0,,0.3636,,,,1.0,,0.625,,,0.0,0.037,,,,1.0,,0.4804,1.0,0.4348,0.25,0.4706,0.4182,,0.0,,,,0.1,,0.5,,0.2,,0.4,0.3333,0.25,,,,1.0,,-1.0,0.5,0.3333,0.3333,0.4444,0.0,,0.1111,0.2222,0.6,0.0,,0.0,-0.6667,0.0,1.0,0.3333,0.0,1.0,-1.0,1.0,1.0,0.5,,,0.0,,-0.9
Kandy Lake,10,3,0,10,0,0,520,5,0,0,38,1,1,4,0,23,155,27,2,52,1,19,0,0,113,0,180,1,19,0,3,2,1,0,1,0,5,3,0,0,0,3,2,2,10,3,0,0,15,8,11,4,7,30,2,7,2,0,59,35,4,36,2,24,71,64,12,4,22,105,36,8,18,17,0,1,2,0,22,0.3,0.3333,,0.3,,,0.5635,0.2,,,0.4474,0.0,0.0,0.75,,0.5652,0.6452,0.7037,0.5,0.4808,0.0,0.1579,,,0.4248,,0.3833,1.0,0.4211,,0.0,0.5,0.0,,0.0,,0.0,0.3333,,,,0.6667,0.5,1.0,0.3,-0.3333,,,0.4,0.125,0.2727,0.0,0.2857,0.4667,0.5,0.5714,0.5,,-0.1695,0.2,0.0,0.3889,1.0,0.25,-0.7606,0.0625,0.8333,1.0,0.3636,0.9429,-1.0,0.375,0.4444,0.5882,,0.0,0.0,,-0.1364
Kandy View Point,1,0,0,3,0,0,217,3,0,0,80,1,2,10,1,181,431,30,4,0,4,1,0,0,20,0,108,1,58,1,2,44,0,0,0,0,2,3,0,1,0,1,2,6,16,15,0,0,21,1,12,2,35,27,2,14,3,0,42,62,5,5,0,1,32,8,9,6,5,11,1,2,19,12,1,0,0,0,18,0.0,,,0.6667,,,0.553,0.6667,,,0.525,0.0,0.5,0.4,0.0,0.4807,0.761,0.6333,1.0,,0.5,0.0,,,0.15,,0.4537,0.0,0.3448,0.0,0.0,0.3864,,,,,0.5,0.6667,,0.0,,0.0,0.5,0.6667,0.1875,-0.1333,,,0.381,0.0,0.0,0.0,0.1143,0.2963,-0.5,0.2857,-0.6667,,0.1429,0.1935,0.4,-0.2,,0.0,-0.6875,0.0,0.5556,0.3333,0.2,1.0,-1.0,0.5,0.7895,0.5833,-1.0,,,,-0.4444
Kanniya Hot Springs,4,1,0,0,0,1,1,0,0,0,2,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,10,1,4,0,0,2,0,4,0,0,0,0,0,0,1,8,6,33,45,17,16,15,1,0,13,6,27,3,0,8,4,2,11,10,5,7,0,1,45,44,5,3,16,8,2,3,13,9,2,9,0,0,208,-0.25,0.0,,,,-1.0,-1.0,,,,0.0,0.0,,,,,0.0,,,,,,,,,,0.0,-1.0,-0.5,,,-0.5,,0.25,,,,,,,0.0,0.125,-0.3333,-0.2121,-0.1111,-0.0588,-0.25,0.0,0.0,,0.3077,0.0,0.1111,-0.3333,,-0.125,-0.25,0.0,-0.3636,0.0,0.0,0.2857,,-1.0,-0.6,0.2955,0.4,1.0,0.1875,1.0,-1.0,-0.6667,1.0,0.1111,1.0,-0.2222,,,-0.9904
Kataragama Temple,3,9,0,1,0,0,1,25,1,0,6,2,0,9,0,0,4,1,0,9,22,0,0,0,6,2,199,19,14,1,2,6,0,1,0,0,0,3,0,3,24,89,1,4,8,13,1,0,1,0,10,3,17,15,1,9,2,0,16,14,0,4,4,0,60,18,6,3,16,30,4,7,11,13,0,6,0,0,20,0.0,-0.2222,,0.0,,,0.0,-0.04,0.0,,0.1667,0.0,,0.2222,,,0.0,0.0,,0.5556,0.2727,,,,0.3333,0.5,0.2462,0.1053,0.0714,1.0,0.0,0.3333,,1.0,,,,0.3333,,0.0,0.125,0.1348,1.0,0.0,0.375,0.1538,0.0,,0.0,,0.3,0.6667,-0.1176,0.2,0.0,0.1111,0.0,,0.0625,0.2857,,-0.25,0.0,,-0.7167,0.4444,0.1667,-0.3333,0.3125,1.0,-1.0,0.7143,0.6364,0.4615,,0.0,,,-0.8
Kaudulla National Park,1,1,0,3,1,0,77,14,0,0,3,7,0,36,0,1,49,8,1,175,481,3,0,0,170,4,2,0,0,0,11,0,1,2,2,0,0,0,0,0,0,0,0,20,61,1,2,0,1,0,2,0,0,43,8,78,3,0,62,3,1,45,0,0,52,4,19,0,39,23,8,6,31,2,0,5,0,0,31,0.0,1.0,,1.0,0.0,,0.2987,0.2857,,,0.3333,0.2857,,0.2778,,1.0,0.7347,0.25,0.0,0.3886,0.4906,1.0,,,0.3588,0.0,0.5,,,,0.3636,,1.0,0.5,0.5,,,,,,,,,0.15,0.2131,0.0,0.0,,0.0,,0.5,,,0.2093,0.25,0.4487,-0.3333,,0.129,0.3333,0.0,0.2222,,,-0.8269,-0.5,0.0,,0.4359,1.0,-1.0,0.5,0.4194,0.0,,0.0,,,-0.6452
Keerimalai Hot springs,19,1,0,45,1,2,1,1,0,0,2,4,0,0,0,0,11,2,0,1,0,0,0,0,0,0,19,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,0,4,8,3,5,6,0,0,1,1,0,3,1,3,1,1,8,11,4,0,0,0,14,37,3,2,12,3,3,1,4,1,2,2,0,0,39,0.3158,0.0,,0.3333,0.0,0.5,-1.0,1.0,,,0.0,-0.25,,,,,0.7273,0.5,,0.0,,,,,,,0.4211,,,,,,,1.0,,,,,,,,0.2222,,0.75,0.375,0.0,-0.2,-0.3333,,,0.0,0.0,,0.6667,1.0,0.3333,0.0,0.0,-0.125,0.2727,0.25,,,,-1.0,0.027,0.6667,1.0,-0.1667,1.0,-1.0,1.0,1.0,-1.0,1.0,0.0,,,-1.0
Kelaniya Raja Maha Vihara,1,10,0,2,0,0,0,54,0,0,2,1,0,1,0,0,18,1,0,1,9,0,0,0,1,0,399,44,225,46,116,65,0,2,0,3,1,8,0,1,2,25,8,5,14,17,4,0,1,0,6,0,4,6,3,17,0,0,13,18,4,5,2,2,87,27,4,8,20,134,6,8,10,6,0,1,2,0,15,1.0,-0.2,,1.0,,,,0.1852,,,0.5,0.0,,1.0,,,0.6111,1.0,,0.0,0.5556,,,,-1.0,,0.4085,0.1591,0.2444,0.5435,0.5431,0.4308,,0.0,,0.0,0.0,-0.125,,0.0,-0.5,0.36,0.25,0.2,0.0714,0.0,0.0,,0.0,,0.0,,-0.25,0.8333,0.3333,0.4118,,,0.3846,0.2778,0.25,0.2,1.0,0.5,-0.7816,0.3704,0.25,1.0,0.2,0.9701,-1.0,0.625,0.8,0.3333,,1.0,0.0,,-0.8667
Kiri Vehera,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,11,11,2,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,1,0,1,0,0,0,5,0,0,0,1,5,0,0,1,1,0,0,0,0,3,,,,,,,,0.0,,,,,0.0,,0.0,,,,,,,,,,,,0.0,0.4545,0.5,,,0.0,,,,,,,,,,0.0,0.0,,,0.0,,,,,0.0,,0.0,,,,,,0.0,,0.0,,,,-0.6,,,,1.0,1.0,,,1.0,0.0,,,,,-1.0
Kirinda Viharaya,25,1,0,34,4,0,0,0,0,2,3,27,0,0,0,0,34,2,0,0,0,0,0,0,0,0,48,3,11,0,1,11,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,6,1,0,3,5,1,6,0,1,11,0,0,3,2,0,1,2,0,9,0.56,0.0,,0.4412,0.0,,,,,1.0,0.0,0.3333,,,,,0.6176,0.5,,,,,,,,,0.4792,0.3333,0.1818,,1.0,0.4545,0.5,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,0.2,1.0,0.1667,0.0,,0.0,-0.6,1.0,-0.8333,,1.0,1.0,,,1.0,0.5,,0.0,-1.0,,-0.7778
Knuckles Mountain Range,1,0,0,1,0,0,7,12,76,0,147,14,2,31,34,7,129,1,5,21,4,0,0,0,27,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,4,9,0,6,0,1,0,1,0,1,31,3,72,6,0,29,14,9,39,0,2,5,11,7,4,10,16,1,16,10,26,5,5,0,47,58,0.0,,,0.0,,,0.4286,0.4167,0.4868,,0.4966,0.6429,0.5,0.4516,0.5,0.5714,0.7519,1.0,0.6,0.3333,0.0,,,,0.3704,0.1818,,,,,,,,,,,0.0,,,,,,0.2308,-0.5,0.0,,-0.5,,0.0,,1.0,,1.0,0.4194,0.0,0.3056,0.3333,,0.1724,-0.0714,0.0,0.4615,,0.0,-0.6,0.4545,0.4286,0.5,0.1,1.0,-1.0,0.75,-0.2,0.7308,1.0,0.4,,-0.8511,-0.4655
Koggala Lake,7,1,0,0,1,0,64,1,0,0,1,0,0,1,1,0,9,3,1,20,1,2,1,0,24,1,33,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,40,0,0,0,2,1,5,0,0,8,1,18,1,0,1,16,0,2,2,59,1,1,3,0,11,15,2,9,27,0,0,1,0,0,6,0.2857,0.0,,,0.0,,0.4375,0.0,,,0.0,,,0.0,0.0,,0.6667,0.6667,1.0,0.45,1.0,0.0,0.0,,0.25,1.0,0.5455,,0.0,,1.0,0.0,,,,,,,,,,,,0.0,0.075,,,,0.0,0.0,-0.4,,,0.25,0.0,0.2222,0.0,,0.0,0.125,,0.0,0.0,0.3729,-1.0,-1.0,0.3333,,0.2727,0.8667,-1.0,-0.1111,-0.7778,,,0.0,,,-0.5
Kosgoda Sea Turtle Conservation Project,84,29,0,229,2,0,21,3,0,0,0,0,0,0,0,0,8,24,0,86,2,477,1,1,5,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,45,87,1,2,0,2,0,26,11,10,17,17,86,9,1,29,16,2,5,0,5,9,28,27,37,98,4,0,77,36,24,0,2,1,0,6,0.4405,0.3448,,0.3537,0.0,,0.2857,0.3333,,,,,,,,,0.375,0.4583,,0.5698,0.5,0.5325,0.0,0.0,0.2,,,,,,,0.5,,,,0.0,,0.5,,,,,,0.2667,0.2184,-1.0,0.0,,0.0,,0.4231,0.0909,0.1,0.4706,0.3529,0.4767,0.1111,-1.0,0.3103,0.125,0.5,0.2,,-0.2,-0.8889,-0.0714,0.1111,0.2703,0.6122,1.0,,0.5844,0.0556,0.375,,1.0,-1.0,,-0.8333
Kumana National Park,8,2,0,4,2,2,3,8,0,0,0,5,2,15,0,2,19,0,0,64,57,3,0,0,79,62,3,0,0,0,4,2,0,2,0,0,1,0,0,0,0,1,0,6,15,0,0,0,1,0,0,0,0,6,1,23,3,0,25,2,0,6,1,0,17,6,3,1,6,12,1,5,7,5,1,2,1,0,4,0.25,-0.5,,0.0,0.5,0.5,1.0,0.375,,,,0.0,0.0,0.4,,0.0,0.5263,,,0.4688,0.1754,0.3333,,,0.4051,0.1935,0.0,,,,0.5,0.0,,-0.5,,,0.0,,,,,0.0,,0.1667,0.0,,,,0.0,,,,,0.5,0.0,0.2609,0.0,,0.16,0.0,,-0.1667,0.0,,-0.2941,-0.6667,0.6667,1.0,0.3333,1.0,-1.0,0.6,0.4286,1.0,1.0,0.0,0.0,,-1.0
Laxapana Falls,0,0,0,0,0,0,2,2,18,0,4,3,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,1,3,0,0,2,0,0,1,0,9,0,9,1,2,0,0,4,5,0,1,3,0,0,1,1,0,0,0,1,3,,,,,,,0.5,0.0,0.7222,,0.25,1.0,,,,1.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,,0.5,0.0,-0.3333,,,0.5,,,0.0,,0.4444,,0.5556,0.0,0.5,,,0.5,0.2,,-1.0,1.0,,,1.0,1.0,,,,-1.0,-1.0
Lipton’s Seat,5,0,0,12,1,0,4,2,1,0,116,4,0,2,193,62,415,4,61,2,0,0,0,0,1,0,2,0,0,0,2,25,0,1,0,0,4,0,1,0,0,3,1,26,101,5,21,0,16,34,35,0,3,25,3,15,9,0,142,246,6,29,1,0,13,7,13,3,31,21,0,15,34,37,0,2,0,1,78,0.8,,,0.6667,1.0,,0.25,0.5,0.0,,0.4569,0.5,,0.0,0.5855,0.6613,0.7928,0.75,0.5738,0.5,,,,,0.0,,1.0,,,,0.5,0.28,,1.0,,,0.5,,0.0,,,0.6667,1.0,0.1538,0.2574,0.2,-0.0952,,0.625,0.4118,0.3429,,0.3333,0.24,0.0,0.3333,0.2222,,0.1972,0.2927,0.3333,0.2759,0.0,,-0.8462,-0.1429,0.0769,1.0,0.4839,1.0,,0.2667,0.2353,0.7027,,0.0,,-1.0,-0.1795
Little Adam's Peak View Point,1,3,0,4,0,0,1,1,14,0,362,97,1,2,78,30,591,51,87,2,1,0,0,0,5,1,7,1,18,0,0,11,0,2,0,0,0,0,0,0,0,7,1,8,31,8,8,0,10,16,3,2,9,56,3,19,38,0,33,51,190,141,34,0,60,21,10,13,51,26,4,9,27,20,0,2,0,2,92,1.0,0.3333,,0.25,,,0.0,0.0,0.5,,0.4724,0.5155,0.0,0.5,0.4615,0.5333,0.8663,0.6275,0.6092,0.5,0.0,,,,0.8,0.0,0.2857,0.0,0.6111,,,0.4545,,0.0,,,,,,,,0.8571,1.0,0.375,0.2258,0.125,0.5,,0.0,0.3125,0.3333,-0.5,0.0,0.2857,0.3333,0.4211,0.3684,,0.2424,0.098,0.1895,0.4539,0.4118,,-0.8167,0.0476,0.6,1.0,0.2941,0.9231,-1.0,0.7778,0.4815,0.4,,0.0,,-1.0,-0.5
Lovamahapaya Brazen Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,8,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,0.0,,0.0,,,,0.0,,,,0.0,1.0,,,,0.0,,,,,,,0.0,,,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,,,,0.0,,-1.0
